sifra,naziv,razina
A,"PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA",0
01,"Biljni i stočarski proizvodi, proizvodi lovstva i usluge povezane s njima",1
01.1,Jednogodišnji usjevi,2
01.11,"Žitarice, osim riže, mahunarke i uljano sjemenje",3
01.11.1,Pšenica,4
01.11.11,Tvrda pšenica,5
01.11.12,"Pšenica, osim tvrde",5
01.11.2,Kukuruz,4
01.11.20,Kukuruz,5
01.11.3,"Ječam, raž i zob",4
01.11.31,Ječam,5
01.11.32,Raž,5
01.11.33,Zob,5
01.11.4,"Sirak, proso i ostale žitarice",4
01.11.41,Sirak,5
01.11.42,Proso,5
01.11.43,Tritikale (pšenoraž),5
01.11.49,"Ostale žitarice, d. n.",5
01.11.5,Slama i pljeva od žitarica,4
01.11.50,Slama i pljeva od žitarica,5
01.11.6,"Mahunasto povrće, svježe, neoljušteno",4
01.11.61,"Grah, svježi, neoljušten",5
01.11.62,"Grašak, svježi, neoljušten",5
01.11.69,"Mahunasto povrće, svježe, neoljušteno, d. n.",5
01.11.7,"Mahunasto povrće, suho",4
01.11.71,"Grah, suhi",5
01.11.72,"Bob, suhi",5
01.11.73,"Slanutak, suhi",5
01.11.74,"Leća, suha",5
01.11.75,"Grašak, suhi",5
01.11.76,Mletački grah (crnookica),5
01.11.77,"Golublji grašak (kajan), suhi",5
01.11.79,"Mahunasto povrće, suho, d. n.",5
01.11.8,Soja i kikiriki,4
01.11.81,Soja,5
01.11.82,"Kikiriki, neoljušten",5
01.11.9,Ostalo uljano sjemenje,4
01.11.91,Laneno sjeme,5
01.11.92,Sjeme gorušice,5
01.11.93,Sjeme uljane repice,5
01.11.94,Sjeme sezama,5
01.11.95,Sjeme suncokreta,5
01.11.96,Sjeme ricinusa,5
01.11.99,"Ostalo uljano sjemenje, d. n.",5
01.12,"Riža, neočišćena",3
01.12.0,"Riža, neočišćena",4
01.12.00,"Riža, neočišćena",5
