KPD_SIFRA	NAZIV	SEKTOR	RAZINA	FINALNA
01	Biljni i stočarski proizvodi, proizvodi lovstva i usluge povezane s njima	A	1	NE
02	Proizvodi šumarstva i sječe drva te usluge povezane s njima	A	1	NE
03	Ribe i ostali proizvodi ribarstva; proizvodi akvakulture; pomoćne usluge u ribarstvu	A	1	NE
05	Ugljen i lignit	B	1	NE
06	Sirova nafta i prirodni plin	B	1	NE
07	Metalne rude	B	1	NE
08	Ostali proizvodi rudarstva i vađenja	B	1	NE
09	Pomoćne usluge u rudarstvu	B	1	NE
10	Prehrambeni proizvodi	C	1	NE
11	Piće	C	1	NE
12	Duhanski proizvodi	C	1	NE
13	Tekstil	C	1	NE
14	Odjeća	C	1	NE
15	Koža i srodni proizvodi od drugih materijala	C	1	NE
16	Drvo i proizvodi od drva i pluta, osim namještaja; proizvodi od slame i pletarskih materijala	C	1	NE
17	Papir i proizvodi od papira	C	1	NE
18	Usluge tiskanja i umnožavanja snimljenih zapisa	C	1	NE
19	Koks i rafinirani naftni proizvodi	C	1	NE
20	Kemikalije i kemijski proizvodi	C	1	NE
21	Osnovni farmaceutski proizvodi i farmaceutski pripravci	C	1	NE
22	Proizvodi od gume i plastike	C	1	NE
23	Ostali nemetalni mineralni proizvodi	C	1	NE
24	Metali	C	1	NE
25	Gotovi metalni proizvodi, osim strojeva i opreme	C	1	NE
26	Računala, elektronički i optički proizvodi	C	1	NE
27	Električna oprema	C	1	NE
28	Strojevi i uređaji, d. n.	C	1	NE
29	Motorna vozila, prikolice i poluprikolice	C	1	NE
30	Ostala prijevozna sredstva	C	1	NE
31	Namještaj	C	1	NE
32	Ostala proizvedena roba	C	1	NE
33	Usluge popravka, održavanja i instaliranja strojeva i opreme	C	1	NE
35	Opskrba električnom energijom, plinom, parom i klimatizacija	D	1	NE
36	Prirodna voda; usluge pročišćavanja vode i opskrbe vodom	E	1	NE
37	Usluge uklanjanja otpadnih voda; kanalizacijski mulj	E	1	NE
38	Usluge skupljanja, oporabe i zbrinjavanja otpada	E	1	NE
39	Usluge sanacije okoliša i ostale usluge gospodarenja otpadom	E	1	NE
41	Stambene i nestambene zgrade, građevinski radovi na izgradnji stambenih i nestambenih zgrada	F	1	NE
42	Građevine niskogradnje i građevinski radovi na izgradnji građevina niskogradnje	F	1	NE
43	Specijalizirani građevinski radovi	F	1	NE
46	Usluge trgovine na veliko	G	1	NE
47	Usluge trgovine na malo	G	1	NE
49	Usluge kopnenog prijevoza i cjevovodnog transporta	H	1	NE
50	Usluge vodnog prijevoza	H	1	NE
51	Usluge zračnog prijevoza	H	1	NE
52	Usluge skladištenja i prateće usluge u prijevozu	H	1	NE
53	Poštanske i kurirske usluge	H	1	NE
55	Usluge smještaja	I	1	NE
56	Usluge pripreme i usluživanja hrane i pića	I	1	NE
58	Izdavačke usluge	J	1	NE
59	Usluge proizvodnje filmova, videofilmova i televizijskog programa, snimanja zvučnih zapisa i izdavanja glazbenih zapisa	J	1	NE
60	Usluge emitiranja radijskog i televizijskog programa, usluge novinskih agencija i ostale usluge distribucije sadržaja	J	1	NE
61	Telekomunikacijske usluge	J	1	NE
62	Računalno programiranje, savjetovanje i usluge povezane s njima	J	1	NE
63	Računalna infrastruktura, obrada podataka, usluge poslužitelja i ostale informacijske usluge	J	1	NE
64	Financijske usluge, osim osiguranja i mirovinskih fondova	K	1	NE
65	Usluge osiguranja, reosiguranja i mirovinskih fondova, osim obveznog socijalnog osiguranja	K	1	NE
66	Pomoćne usluge za financijske usluge i usluge osiguranja	K	1	NE
68	Usluge povezane s poslovanjem nekretninama	L	1	NE
69	Pravne i računovodstvene usluge	M	1	NE
70	Upravljačke usluge i usluge savjetovanja u vezi s upravljanjem	M	1	NE
71	Arhitektonske i inženjerske usluge; usluge tehničkog ispitivanja i analize	M	1	NE
72	Usluge znanstvenog istraživanja i razvoja	M	1	NE
73	Usluge promidžbe, istraživanja tržišta i odnosa s javnošću	M	1	NE
74	Ostale stručne, znanstvene i tehničke usluge	M	1	NE
75	Veterinarske usluge	M	1	NE
77	Usluge iznajmljivanja i davanja u zakup (leasing)	N	1	NE
78	Usluge zapošljavanja	N	1	NE
79	Usluge putničkih agencija i organizatora putovanja (turoperatora) i ostale rezervacijske usluge te usluge povezane s njima	N	1	NE
80	Istražne i zaštitne usluge	N	1	NE
81	Usluge u vezi s upravljanjem i održavanjem zgrada te usluge uređenja i održavanja krajolika	N	1	NE
82	Uredske administrativne i pomoćne usluge te ostale poslovne pomoćne usluge	N	1	NE
84	Usluge javne uprave i obrane; usluge obveznog socijalnog osiguranja	O	1	NE
85	Usluge obrazovanja	P	1	NE
86	Usluge zdravstvene zaštite	Q	1	NE
87	Usluge socijalne skrbi sa smještajem	Q	1	NE
88	Usluge socijalne skrbi bez smještaja	Q	1	NE
90	Usluge umjetničkog stvaralaštva i izvedbenih umjetnosti	R	1	NE
91	Usluge knjižnica, arhiva, muzeja i ostale kulturne usluge	R	1	NE
92	Usluge kockanja i klađenja	R	1	NE
93	Sportske, zabavne i rekreacijske usluge	R	1	NE
94	Usluge članskih organizacija	S	1	NE
95	Usluge popravka i održavanja računala, predmeta za osobnu uporabu i kućanstvo te motornih vozila i motocikala	S	1	NE
96	Osobne usluge	S	1	NE
97	Usluge kućanstava koja zapošljavaju poslugu	T	1	NE
98	Proizvodi i usluge privatnih kućanstava koja proizvode različitu robu i obavljaju različite usluge za vlastite potrebe	T	1	NE
99	Usluge izvanteritorijalnih organizacija i tijela	U	1	NE
01.1	Jednogodišnji usjevi	A	2	NE
01.2	Višegodišnji usjevi	A	2	NE
01.3	Sadni materijal: živo bilje, lukovice, gomolji i korijenje, reznice i cijepovi; micelij gljiva	A	2	NE
01.4	Žive životinje i proizvodi životinjskog podrijetla	A	2	NE
01.6	Usluge u poljoprivredi i uzgoju životinja	A	2	NE
01.7	Lov, stupičarenje i usluge povezane s njima	A	2	NE
02.1	Usluge uzgoja i rasadnika šumskog drveća	A	2	NE
